country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2016,359,119,639,32,2,4,148,9,305,1617
Albania,2016,0,0,1,0,0,0,1,0,0,2
Algeria,2016,2,0,7,0,0,0,0,0,0,9
Angola,2016,0,0,0,0,0,0,0,0,2,2
Argentina,2016,1,0,0,0,0,0,1,0,0,2
Armenia,2016,0,0,1,0,0,1,0,0,0,2
Australia,2016,2,0,0,7,0,0,0,0,0,9
Austria,2016,0,0,0,3,0,0,0,0,0,3
Azerbaijan,2016,0,0,2,0,0,0,0,0,0,2
Bahrain,2016,1,0,0,1,0,0,0,0,1,3
Bangladesh,2016,29,6,20,19,0,3,8,1,2,88
Belgium,2016,2,0,3,1,0,0,0,0,0,6
Brazil,2016,0,1,0,1,0,0,0,0,0,2
Bulgaria,2016,0,0,0,0,0,0,0,1,0,1
Burkina Faso,2016,6,0,1,0,0,1,1,0,1,10
Burundi,2016,18,15,46,0,0,0,3,0,1,83
Cameroon,2016,8,0,31,4,0,0,5,0,8,56
Canada,2016,2,0,1,2,0,0,0,1,0,6
Central African Republic,2016,18,1,0,1,0,1,11,0,6,38
Chad,2016,1,0,3,0,0,0,0,0,1,5
Chile,2016,3,0,2,12,0,1,0,0,0,18
China,2016,1,0,3,0,1,0,0,0,0,5
Colombia,2016,29,3,47,5,0,0,19,0,6,109
Cyprus,2016,0,1,0,1,0,0,0,0,0,2
Czech Republic,2016,0,1,0,1,0,0,0,0,0,2
Democratic Republic of the Congo,2016,49,2,2,18,0,0,50,0,48,169
Denmark,2016,1,0,0,0,0,0,0,0,0,1
Ecuador,2016,2,0,0,0,0,0,0,0,0,2
Egypt,2016,90,9,232,5,2,0,16,0,22,376
Ethiopia,2016,3,0,0,0,0,0,10,0,0,13
Finland,2016,0,0,0,3,0,0,0,0,0,3
France,2016,9,1,1,12,0,1,0,2,0,26
Georgia,2016,2,1,1,0,0,0,0,0,0,4
Germany,2016,10,0,8,22,1,0,0,3,0,44
Ghana,2016,0,0,1,0,0,0,0,0,0,1
Greece,2016,8,3,6,13,0,0,0,1,0,31
Guinea,2016,0,1,0,0,0,0,0,0,0,1
Guyana,2016,0,1,0,0,0,0,0,0,0,1
Haiti,2016,1,0,0,0,0,0,0,0,0,1
Honduras,2016,0,1,0,0,0,0,0,0,0,1
Hungary,2016,0,0,1,0,0,0,0,0,0,1
India,2016,198,53,466,108,0,12,139,24,25,1025
Indonesia,2016,2,1,13,1,0,0,1,0,1,19
Iran,2016,1,1,7,0,0,0,0,0,1,10
Iraq,2016,169,53,2760,51,0,2,136,1,188,3360
Ireland,2016,1,1,10,2,0,0,0,1,0,15
Israel,2016,24,0,16,9,0,0,1,0,0,50
Italy,2016,1,0,9,1,0,0,0,0,0,11
Ivory Coast,2016,1,0,0,0,0,0,0,0,0,1
Japan,2016,0,0,0,0,0,1,0,0,0,1
Jordan,2016,4,1,2,1,0,1,0,0,0,9
Kazakhstan,2016,2,0,0,0,1,0,0,0,0,3
Kenya,2016,19,1,33,2,0,4,4,0,2,65
Kosovo,2016,1,1,4,2,0,0,0,0,0,8
Kuwait,2016,0,0,1,0,0,0,0,1,0,2
Kyrgyzstan,2016,0,1,3,0,0,0,0,0,0,4
Laos,2016,3,0,1,0,0,0,0,0,0,4
Lebanon,2016,9,3,24,1,0,0,3,0,1,41
Libya,2016,45,17,167,23,5,3,130,0,32,422
Madagascar,2016,0,0,1,0,0,0,0,0,0,1
Malaysia,2016,0,1,2,3,1,1,11,0,0,19
Maldives,2016,0,0,0,0,0,0,0,0,1,1
Mali,2016,28,5,35,7,2,0,9,0,13,99
Mexico,2016,1,4,0,0,0,0,0,0,0,5
Moldova,2016,0,1,0,0,0,0,0,0,0,1
Mozambique,2016,40,10,0,17,0,0,6,0,6,79
Myanmar,2016,19,2,31,12,0,0,9,0,1,74
Nepal,2016,4,2,14,23,0,0,0,0,0,43
Netherlands,2016,2,0,0,4,0,0,0,0,0,6
New Zealand,2016,0,0,0,1,0,0,0,0,0,1
Niger,2016,7,1,5,3,0,0,2,0,7,25
Nigeria,2016,240,27,174,19,3,3,53,1,13,533
Pakistan,2016,274,82,429,9,0,6,55,0,9,864
Panama,2016,1,0,0,0,0,0,0,0,0,1
Paraguay,2016,4,1,2,4,0,0,4,0,0,15
Peru,2016,0,1,0,0,0,0,0,0,2,3
Philippines,2016,186,151,200,29,8,9,41,0,8,632
Poland,2016,0,0,2,0,0,0,0,0,0,2
Republic of the Congo,2016,1,0,11,1,0,0,2,0,0,15
Russia,2016,23,4,19,3,0,1,1,2,2,55
Rwanda,2016,1,0,0,0,0,0,0,0,0,1
Saudi Arabia,2016,24,3,87,2,0,0,2,0,6,124
Sierra Leone,2016,0,1,0,0,0,0,0,0,0,1
Slovak Republic,2016,0,0,0,0,0,0,0,1,0,1
Somalia,2016,155,83,259,15,4,3,47,0,36,602
South Africa,2016,2,22,0,3,0,0,0,0,0,27
South Korea,2016,0,0,0,1,0,0,0,0,0,1
South Sudan,2016,27,3,2,2,0,0,20,0,5,59
Spain,2016,0,0,0,2,0,0,0,1,0,3
Sri Lanka,2016,0,0,1,0,0,0,0,0,0,1
Sudan,2016,69,3,11,7,8,0,65,4,6,173
Sweden,2016,1,0,3,12,0,0,0,0,0,16
Switzerland,2016,1,0,0,0,0,0,0,0,0,1
Syria,2016,57,4,334,3,0,0,54,1,20,473
Taiwan,2016,0,0,0,1,0,0,0,0,0,1
Tajikistan,2016,0,0,0,0,0,0,1,1,0,2
Tanzania,2016,0,1,1,0,0,0,1,0,0,3
Thailand,2016,73,19,204,30,3,0,0,0,0,329
Tunisia,2016,8,0,4,0,0,0,0,0,0,12
Turkey,2016,125,17,334,21,0,1,9,1,34,542
Uganda,2016,4,3,3,1,0,0,1,1,2,15
