country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2017,336,124,531,35,2,2,112,4,268,1414
Albania,2017,0,0,1,0,0,0,0,0,0,1
Algeria,2017,2,0,12,0,0,0,0,0,0,14
Angola,2017,0,0,0,0,0,0,1,1,4,6
Argentina,2017,0,0,0,3,0,0,0,0,0,3
Australia,2017,1,0,1,0,0,1,0,1,0,4
Austria,2017,1,0,0,0,0,0,0,0,0,1
Azerbaijan,2017,0,0,1,0,0,0,0,0,1,2
Bahrain,2017,7,0,13,0,0,1,0,0,0,21
Bangladesh,2017,13,6,15,3,0,0,3,1,0,41
Belgium,2017,1,1,1,0,0,0,0,0,0,3
Brazil,2017,0,0,0,2,0,0,0,0,0,2
Burkina Faso,2017,15,1,4,2,0,1,4,0,5,32
Burundi,2017,2,2,14,0,0,0,3,0,0,21
Cameroon,2017,12,0,52,5,0,0,15,0,10,94
Canada,2017,3,0,0,8,0,0,0,1,0,12
Central African Republic,2017,22,0,1,1,0,2,10,0,7,43
Chad,2017,2,0,0,1,0,0,1,0,2,6
Chile,2017,2,1,2,6,0,1,0,0,0,12
China,2017,1,0,3,2,0,0,0,0,0,6
Colombia,2017,27,12,43,7,1,1,23,0,3,117
Czech Republic,2017,0,0,0,3,0,0,0,0,0,3
Democratic Republic of the Congo,2017,62,1,1,15,1,1,39,0,23,143
Djibouti,2017,0,0,0,0,0,0,1,0,0,1
Dominican Republic,2017,0,1,0,0,0,0,0,0,0,1
Ecuador,2017,0,1,1,0,0,0,1,0,0,3
Egypt,2017,93,5,84,5,4,3,19,0,11,224
Ethiopia,2017,5,0,13,4,0,0,4,0,1,27
Finland,2017,1,0,0,1,0,0,0,0,0,2
France,2017,5,1,5,19,0,1,0,10,0,41
Gabon,2017,0,1,0,1,0,2,0,0,0,4
Georgia,2017,0,1,0,0,0,0,0,0,0,1
Germany,2017,5,2,1,19,0,0,0,0,0,27
Greece,2017,6,2,13,14,0,1,0,2,5,43
Honduras,2017,1,0,0,0,0,0,0,0,0,1
India,2017,220,69,301,203,5,13,110,36,9,966
Indonesia,2017,13,2,6,3,0,2,0,1,0,27
Iran,2017,5,1,2,0,0,1,1,0,1,11
Iraq,2017,187,50,1866,22,2,2,115,2,220,2466
Ireland,2017,1,0,15,1,0,0,0,0,0,17
Israel,2017,14,0,17,1,0,0,0,0,0,32
Italy,2017,1,1,5,1,0,0,0,0,0,8
Ivory Coast,2017,8,0,0,4,0,1,0,0,0,13
Jamaica,2017,0,0,0,2,0,0,0,0,0,2
Jordan,2017,2,0,0,6,0,0,0,0,0,8
Kenya,2017,24,1,40,11,7,1,12,0,1,97
Kosovo,2017,0,1,3,2,0,0,0,2,0,8
Kyrgyzstan,2017,0,0,1,1,0,0,0,0,0,2
Laos,2017,1,0,0,0,0,0,0,0,0,1
Latvia,2017,0,0,0,1,0,0,0,0,0,1
Lebanon,2017,4,3,14,0,0,0,1,0,1,23
Liberia,2017,0,1,0,0,0,0,0,0,0,1
Libya,2017,31,16,68,12,5,4,40,2,12,190
Macedonia,2017,0,0,0,1,0,0,0,0,0,1
Malawi,2017,0,0,0,1,0,0,0,0,0,1
Malaysia,2017,3,0,0,0,0,0,1,0,0,4
Maldives,2017,0,1,0,1,0,0,0,0,0,2
Mali,2017,48,8,39,4,1,4,17,0,20,141
Malta,2017,0,1,0,2,0,0,0,0,0,3
Mexico,2017,4,13,1,0,0,1,1,0,0,20
Mozambique,2017,7,3,0,1,0,0,0,0,0,11
Myanmar,2017,14,6,56,14,0,0,14,0,11,115
Nepal,2017,4,58,152,24,0,0,8,0,1,247
Netherlands,2017,0,0,0,1,0,0,0,0,0,1
Niger,2017,7,0,1,2,0,0,3,0,0,13
Nigeria,2017,179,29,153,22,1,4,77,1,18,484
Norway,2017,0,0,1,0,0,0,0,0,0,1
Pakistan,2017,203,67,389,4,0,2,40,2,12,719
Papua New Guinea,2017,1,0,1,4,0,0,2,0,0,8
Paraguay,2017,2,0,0,2,0,1,5,0,0,10
Peru,2017,2,2,1,0,0,0,2,0,1,8
Philippines,2017,217,105,168,81,11,15,56,1,38,692
Poland,2017,0,0,1,0,0,0,0,0,0,1
Russia,2017,13,4,7,6,0,0,0,3,0,33
Rwanda,2017,1,0,0,0,0,0,1,0,0,2
Saudi Arabia,2017,8,1,42,2,0,0,1,0,0,54
Serbia,2017,0,0,0,0,0,0,0,0,1,1
Sierra Leone,2017,0,0,0,2,0,0,0,0,1,3
Somalia,2017,152,107,280,6,1,2,33,1,32,614
South Africa,2017,9,15,1,4,0,0,0,0,0,29
South Sudan,2017,22,2,0,1,0,0,10,1,18,54
Spain,2017,1,0,0,0,1,0,0,2,0,4
Sri Lanka,2017,17,2,0,20,0,0,0,1,1,41
Sudan,2017,49,1,0,7,9,2,29,6,3,106
Sweden,2017,5,0,3,7,1,0,0,2,0,18
Syria,2017,23,4,165,1,0,0,16,0,34,243
Taiwan,2017,1,0,0,0,0,0,0,0,0,1
Tajikistan,2017,0,0,2,0,0,0,0,0,0,2
Tanzania,2017,1,2,0,0,0,0,3,0,0,6
Thailand,2017,38,12,109,11,5,3,1,0,0,179
Tunisia,2017,2,0,1,0,0,0,1,0,0,4
Turkey,2017,40,8,112,3,0,0,7,0,11,181
Uganda,2017,1,7,1,0,0,0,3,0,1,13
Ukraine,2017,5,9,31,10,0,1,4,0,1,61
United Kingdom,2017,35,1,37,40,1,0,1,7,0,122
