"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Angola"
"5","Argentina"
"6","Armenia"
"7","Australia"
"8","Austria"
"9","Azerbaijan"
"10","Bahamas"
"11","Bahrain"
"12","Bangladesh"
"13","Belarus"
"14","Belgium"
"15","Belize"
"16","Benin"
"17","Bhutan"
"18","Bolivia"
"19","Bosnia-Herzegovina"
"20","Brazil"
"21","Bulgaria"
"22","Burkina Faso"
"23","Burundi"
"24","Cambodia"
"25","Cameroon"
"26","Canada"
"27","Central African Republic"
"28","Chad"
"29","Chile"
"30","China"
"31","Colombia"
"32","Croatia"
"33","Cuba"
"34","Cyprus"
"35","Czech Republic"
"36","Democratic Republic of the Congo"
"37","Denmark"
"38","Djibouti"
"39","Dominican Republic"
"40","East Timor"
"41","Ecuador"
"42","Egypt"
"43","Equatorial Guinea"
"44","Eritrea"
"45","Estonia"
"46","Ethiopia"
"47","Finland"
"48","France"
"49","Gabon"
"50","Georgia"
"51","Germany"
"52","Ghana"
"53","Greece"
"54","Guatemala"
"55","Guinea"
"56","Guinea-Bissau"
"57","Guyana"
"58","Haiti"
"59","Honduras"
"60","Hong Kong"
"61","Hungary"
"62","Iceland"
"63","India"
"64","Indonesia"
"65","Iran"
"66","Iraq"
"67","Ireland"
"68","Israel"
"69","Italy"
"70","Ivory Coast"
"71","Jamaica"
"72","Japan"
"73","Jordan"
"74","Kazakhstan"
"75","Kenya"
"76","Kosovo"
"77","Kuwait"
"78","Kyrgyzstan"
"79","Laos"
"80","Latvia"
"81","Lebanon"
"82","Lesotho"
"83","Liberia"
"84","Libya"
"85","Macedonia"
"86","Madagascar"
"87","Malawi"
"88","Malaysia"
"89","Maldives"
"90","Mali"
"91","Malta"
"92","Mauritania"
"93","Mexico"
"94","Moldova"
"95","Montenegro"
"96","Morocco"
"97","Mozambique"
"98","Myanmar"
"99","Nepal"
"100","Netherlands"
"101","New Zealand"
"102","Nicaragua"
"103","Niger"
"104","Nigeria"
"105","Norway"
"106","Pakistan"
"107","Panama"
"108","Papua New Guinea"
"109","Paraguay"
"110","Peru"
"111","Philippines"
"112","Poland"
"113","Portugal"
"114","Qatar"
"115","Republic of the Congo"
"116","Romania"
"117","Russia"
"118","Rwanda"
"119","Saudi Arabia"
"120","Senegal"
"121","Serbia"
"122","Sierra Leone"
"123","Slovak Republic"
"124","Somalia"
"125","South Africa"
"126","South Korea"
"127","South Sudan"
"128","Spain"
"129","Sri Lanka"
"130","Sudan"
"131","Swaziland"
"132","Sweden"
"133","Switzerland"
"134","Syria"
"135","Taiwan"
"136","Tajikistan"
"137","Tanzania"
"138","Thailand"
"139","Trinidad and Tobago"
"140","Tunisia"
"141","Turkey"
"142","Turkmenistan"
"143","Uganda"
"144","Ukraine"
"145","United Arab Emirates"
"146","United Kingdom"
"147","United States"
"148","Uruguay"
"149","Uzbekistan"
"150","Venezuela"
"151","Vietnam"
"152","West Bank and Gaza Strip"
"153","Western Sahara"
"154","Yemen"
"155","Zambia"
"156","Zimbabwe"
